Time (UTC),open,high,low,close,volume
2021-12-04 22:00:00+00:00,48770.35,49344.99,48683.69,49257.86,68879327.77
2021-12-04 23:00:00+00:00,49257.86,49524.7,48903.64,49243.39,81896561.54
2021-12-05 00:00:00+00:00,49243.39,49724.28,48403.53,49027.99,126592407.56
2021-12-05 01:00:00+00:00,49027.99,49279.68,48743.53,49102.57,54274854.9
2021-12-05 02:00:00+00:00,49102.57,49173.73,48884.22,49131.21,40880939.3
2021-12-05 03:00:00+00:00,49131.21,49442.66,48931.22,49254.58,49176609.0
2021-12-05 04:00:00+00:00,49254.58,49314.39,48923.33,49020.37,41160710.31
2021-12-05 05:00:00+00:00,49020.37,49517.03,48953.12,49498.74,47624200.17
2021-12-05 06:00:00+00:00,49498.74,49686.11,49334.67,49587.18,84260638.07
2021-12-05 07:00:00+00:00,49587.18,49764.31,49340.3,49402.82,70380452.54
2021-12-05 08:00:00+00:00,49402.82,49666.62,49261.37,49573.54,52975607.24
2021-12-05 09:00:00+00:00,49573.54,49579.35,48837.7,49098.37,81205184.88
2021-12-05 10:00:00+00:00,49098.37,49509.57,48961.82,49361.95,74698693.08
2021-12-05 11:00:00+00:00,49361.95,49481.74,49100.49,49365.11,67605286.94
2021-12-05 12:00:00+00:00,49365.11,49761.62,49163.75,49465.45,82855275.09
2021-12-05 13:00:00+00:00,49465.45,49538.35,49242.05,49408.71,91920346.04
2021-12-05 14:00:00+00:00,49408.71,49437.52,48896.06,49023.13,111639916.42
2021-12-05 15:00:00+00:00,49023.13,49178.17,47840.63,48012.04,189795214.41
2021-12-05 16:00:00+00:00,48012.04,48770.36,47984.76,48562.9,132038992.21
2021-12-05 17:00:00+00:00,48562.9,49375.73,48464.96,49353.58,117343984.45
2021-12-05 18:00:00+00:00,49353.58,49405.29,49165.21,49182.09,88293416.3
2021-12-05 19:00:00+00:00,49182.09,49221.34,48400.23,48980.94,112644768.85
2021-12-05 20:00:00+00:00,48980.94,49103.28,48619.88,48927.81,81903088.61
2021-12-05 21:00:00+00:00,48927.81,49290.52,48601.93,49241.65,81026760.39
2021-12-05 22:00:00+00:00,49241.65,49332.76,48887.29,49325.96,77597029.38
