Time (UTC),open,high,low,close,volume_from,volume_to
2021-09-03 14:00:00+00:00,3964.42,4026.86,3960.14,3980.86,54816.85,218588232.16
2021-09-03 15:00:00+00:00,3980.86,3984.11,3955.04,3969.65,20511.15,81447386.08
2021-09-03 16:00:00+00:00,3969.65,3984.47,3957.56,3971.1,14056.07,55828963.77
2021-09-03 17:00:00+00:00,3971.1,3982.94,3955.79,3965.21,12919.34,51331226.15
2021-09-03 18:00:00+00:00,3965.21,3965.21,3934.4,3953.64,17311.35,68453299.31
2021-09-03 19:00:00+00:00,3953.64,3954.27,3927.52,3945.05,12806.74,50477795.82
2021-09-03 20:00:00+00:00,3945.05,3945.38,3908.52,3916.9,15588.74,61172844.51
2021-09-03 21:00:00+00:00,3916.9,3940.48,3915.53,3935.49,9212.03,36209908.87
2021-09-03 22:00:00+00:00,3935.49,3936.41,3867.76,3887.25,26075.17,101595663.82
2021-09-03 23:00:00+00:00,3887.25,3943.13,3880.25,3939.79,15659.37,61264082.85
2021-09-04 00:00:00+00:00,3939.79,3969.89,3915.61,3944.09,20211.43,79756118.08
2021-09-04 01:00:00+00:00,3944.09,3952.98,3919.14,3921.29,10514.58,41360916.11
2021-09-04 02:00:00+00:00,3921.29,3945.64,3904.33,3943.89,9296.85,36479392.84
2021-09-04 03:00:00+00:00,3943.89,3944.02,3916.25,3919.08,9982.93,39193608.81
2021-09-04 04:00:00+00:00,3919.08,3927.39,3907.25,3907.8,6740.7,26398881.08
2021-09-04 05:00:00+00:00,3907.8,3928.44,3893.82,3926.41,8400.84,32849173.16
2021-09-04 06:00:00+00:00,3926.41,3936.65,3917.64,3922.45,6018.85,23632135.59
2021-09-04 07:00:00+00:00,3922.45,3933.28,3910.23,3915.77,6142.15,24061342.29
2021-09-04 08:00:00+00:00,3915.77,3953.22,3910.88,3934.0,9512.1,37408634.55
2021-09-04 09:00:00+00:00,3935.53,3961.78,3926.47,3928.99,17250.89,67778649.61
2021-09-04 10:00:00+00:00,3929.06,3947.69,3906.79,3906.8,8000.54,31441733.05
2021-09-04 11:00:00+00:00,3906.8,3913.59,3886.01,3889.23,12251.57,47773015.09
2021-09-04 12:00:00+00:00,3889.23,3928.69,3881.85,3917.63,8786.18,34337953.58
2021-09-04 13:00:00+00:00,3916.34,3917.86,3904.8,3912.34,12652.27,49499949.42
2021-09-04 14:00:00+00:00,3912.34,3904.73,3892.23,3904.23,14783.21,57717060.69
2021-09-04 15:00:00+00:00,3905.07,3922.02,3903.6,3919.7,9003.69,35238360.09
2021-09-04 16:00:00+00:00,3919.7,3926.32,3898.12,3903.15,8525.58,33342885.72
2021-09-04 17:00:00+00:00,3903.15,3906.4,3847.18,3881.19,23104.27,89359096.22
2021-09-04 18:00:00+00:00,3881.19,3890.71,3857.6,3861.19,8077.15,31303744.7
2021-09-04 19:00:00+00:00,3861.19,3878.95,3835.04,3860.71,19820.99,76417992.53
2021-09-04 20:00:00+00:00,3860.71,3883.81,3855.57,3880.48,8022.36,31081110.88
